name,rate,year,area
ประจวบคีรีขันธ์ ,0.63,2554,605daa18f44f7e8fb8bcb156
ประจวบคีรีขันธ์ ,0.63,2555,605daa18f44f7e8fb8bcb156
ประจวบคีรีขันธ์ ,0.64,2556,605daa18f44f7e8fb8bcb156
ประจวบคีรีขันธ์ ,0.65,2557,605daa18f44f7e8fb8bcb156
ประจวบคีรีขันธ์ ,0.65,2558,605daa18f44f7e8fb8bcb156
ประจวบคีรีขันธ์ ,0.66,2559,605daa18f44f7e8fb8bcb156
ประจวบคีรีขันธ์ ,0.67,2560,605daa18f44f7e8fb8bcb156
ประจวบคีรีขันธ์ ,0.67,2561,605daa18f44f7e8fb8bcb156
ประจวบคีรีขันธ์ ,0.68,2562,605daa18f44f7e8fb8bcb156
ประจวบคีรีขันธ์ ,0.68,2563,605daa18f44f7e8fb8bcb156
ประจวบคีรีขันธ์ ,0.69,2564,605daa18f44f7e8fb8bcb156
ประจวบคีรีขันธ์ ,0.7,2565,605daa18f44f7e8fb8bcb156
ประจวบคีรีขันธ์ ,0.7,2566,605daa18f44f7e8fb8bcb156
ประจวบคีรีขันธ์ ,0.71,2567,605daa18f44f7e8fb8bcb156
ประจวบคีรีขันธ์ ,0.72,2568,605daa18f44f7e8fb8bcb156
ประจวบคีรีขันธ์ ,0.72,2569,605daa18f44f7e8fb8bcb156
สงขลา,0.63,2554,605db2b89b258e913e075dbd
สงขลา,0.63,2555,605db2b89b258e913e075dbd
สงขลา,0.64,2556,605db2b89b258e913e075dbd
สงขลา,0.65,2557,605db2b89b258e913e075dbd
สงขลา,0.65,2558,605db2b89b258e913e075dbd
สงขลา,0.66,2559,605db2b89b258e913e075dbd
สงขลา,0.67,2560,605db2b89b258e913e075dbd
สงขลา,0.67,2561,605db2b89b258e913e075dbd
สงขลา,0.68,2562,605db2b89b258e913e075dbd
สงขลา,0.68,2563,605db2b89b258e913e075dbd
สงขลา,0.69,2564,605db2b89b258e913e075dbd
สงขลา,0.7,2565,605db2b89b258e913e075dbd
สงขลา,0.7,2566,605db2b89b258e913e075dbd
สงขลา,0.71,2567,605db2b89b258e913e075dbd
สงขลา,0.72,2568,605db2b89b258e913e075dbd
สงขลา,0.72,2569,605db2b89b258e913e075dbd
บางเสร่,0.63,2554,605c611afc75ea635934cde0
บางเสร่,0.63,2555,605c611afc75ea635934cde0
บางเสร่,0.64,2556,605c611afc75ea635934cde0
บางเสร่,0.65,2557,605c611afc75ea635934cde0
บางเสร่,0.65,2558,605c611afc75ea635934cde0
บางเสร่,0.66,2559,605c611afc75ea635934cde0
บางเสร่,0.67,2560,605c611afc75ea635934cde0
บางเสร่,0.67,2561,605c611afc75ea635934cde0
บางเสร่,0.68,2562,605c611afc75ea635934cde0
บางเสร่,0.68,2563,605c611afc75ea635934cde0
บางเสร่,0.69,2564,605c611afc75ea635934cde0
บางเสร่,0.7,2565,605c611afc75ea635934cde0
บางเสร่,0.7,2566,605c611afc75ea635934cde0
บางเสร่,0.71,2567,605c611afc75ea635934cde0
บางเสร่,0.72,2568,605c611afc75ea635934cde0
บางเสร่,0.72,2569,605c611afc75ea635934cde0
พะเยา,0.63,2554,605dae309b258e913e075dbc
พะเยา,0.63,2555,605dae309b258e913e075dbc
พะเยา,0.64,2556,605dae309b258e913e075dbc
พะเยา,0.65,2557,605dae309b258e913e075dbc
พะเยา,0.65,2558,605dae309b258e913e075dbc
